Año de Fecha,Tipo Huevo,Canal,Ciudad ,Uds,Prom. Uds,Precio Full,Precio,Costo Pcc ,Empaque ,Clasificación ,Almacenamiento,1era Milla,Admon UM/Huevo,Log UM Veh,Total Ccial UM,Ccial UM,Mercaderismo,Staff ,Mercadeo ,Otros G.Venta,Admon ,Depreciaciones,Dev Total ,Averías Post Entrega,EBITDA (Ccial Ajustado)/Huevo,Mg. Ebitda Ccial,Prom. Dias Cartera,Cartera,Ebitda (Cartera),Mg Ebitda.
2025,A,AU ESP,BARRANQUILLA,"154,200","25,700",440.07,423.17,289.19,11.6,18.25,3.78,17.14,11.56,33.59,19.42,19.42,0,3.15,3.64,8.39,20.94,8.31,0.11,0,-9.25,-0.02,25,4.58,-14.81,-0.04
2025,A,AU ESP,BOGOTA,"335,760","83,940",336.01,335.5,289.46,27.89,22.54,3.24,26.93,1.96,12.69,22.75,22.75,0,2.23,0.07,6.86,17.86,8.01,0,0.06,-91.02,-0.27,38,10.33,-100.73,-0.3
2025,A,AU ESP,BUCARAMANGA,"8,970","2,243",433,433,288.21,14.84,23.86,3.71,6.36,7.44,26.43,1.11,1.11,0,2.59,0,7.38,19.71,8.16,0.12,0,39.4,0.09,33,13.43,20.67,0.05
2025,A,AU ESP,CALI,"1,026,450","342,150",323.36,322.2,288.19,16.04,24.44,3.51,6.37,12.74,23.67,10.07,10.07,0,2.46,0,6.48,17.42,8.07,0,0.97,-82.1,-0.25,22,4.45,-84.54,-0.26
2025,A,AU ESP,CARTAGENA,"148,170","24,695",483.57,460.05,290.03,9.86,15.05,3.78,17.56,13.82,15.29,6.45,6.45,0,3.35,5.14,9.27,22.53,8.37,0.09,0,56.21,0.12,24,4.23,52.68,0.11
2025,A,AU ESP,MEDELLIN,"158,430","52,810",338.41,338.41,287.94,16.01,24.82,3.57,24.23,14.79,27.62,12.48,12.48,0,2.51,0,6.41,17.33,8.09,0.06,0.22,-91.52,-0.27,48,7.49,-97.64,-0.29
2025,A,AU ESP,MONTERIA,"51,000","51,000",333,333,287.15,15.91,26.04,3.76,37.33,9.73,19.66,0,0,0,2.67,0,6.19,17.04,8.13,0,0,-84.36,-0.25,28,5.28,-113.85,-0.34
2025,A,AU ESP,SANTA MARTA,"46,320","7,720",483.19,457.27,291.08,9.88,15.54,3.82,19.42,7.93,38.55,5.22,5.22,0,3.37,4.91,9.11,21.72,8.33,0,0,35.05,0.08,24,3.96,31.09,0.07
2025,A,AU ESP,SINCELEJO,"49,200","24,600",386.71,386.71,291.81,8.2,15.48,3.67,28.77,25.37,0,0,0,0,3.06,4.86,8.78,19.76,8.54,0,0,-14.52,-0.04,0,0,-3.86,-0.01
2025,A,FS,BARRANQUILLA,"1,165,008","194,168",499.61,499.61,291.07,13.97,16.55,3.84,15.05,10.73,34.97,21.46,21.46,0,3.69,5.2,9.87,23.79,8.41,0.02,0,57.81,0.12,29,30.13,26.49,0.05
2025,A,FS,BOGOTA,"1,101,088","183,515",531.08,531.08,290.29,9.9,15.87,3.76,20.6,17.71,40.55,26.93,26.93,0,3.63,4.83,9.99,24.5,8.38,0.28,0,70.62,0.13,59,44.2,31.97,0.06
2025,A,FS,BUCARAMANGA,"1,405,106","234,184",526.99,526.99,289.15,18.01,15.92,3.71,4.05,7.94,31.9,0.86,0.86,0,3.64,5.09,10.16,25.56,8.34,0.02,0,119.32,0.23,52,42.95,70.99,0.13
2025,A,FS,CALI,"609,715","101,619",515.22,515.22,290.01,13.42,15.58,3.75,5.05,16,28,15.44,15.44,0,3.65,5.02,10.05,24.87,8.35,0.05,0,92.66,0.18,46,27.26,66.75,0.13
2025,A,FS,CARTAGENA,"3,766,016","627,669",460.83,460.83,290.31,12.09,15.92,3.79,18.08,13.02,14.43,5.77,5.77,0,3.64,4.86,9.94,24.38,8.38,0.12,0,52.87,0.11,19,3.41,50.06,0.11
2025,A,FS,MEDELLIN,"1,298,823","216,471",495.92,495.92,289.85,10.02,15.42,3.75,11.99,16.8,33.02,15.8,15.8,0,3.64,5.21,9.99,24.89,8.34,0.08,0,63.79,0.13,45,23.96,42.64,0.09
2025,A,FS,PEREIRA,"1,500","1,500",559.9,559.9,288.13,10,14.17,4.04,7.77,9.21,13.71,0,0,0,3.08,8.67,8.79,23.86,8.18,0,0,176.65,0.32,108,89.72,90.55,0.16
2025,A,FS,POPAYAN,"54,000","9,000",415,415,290.39,9.33,15.77,3.71,11.91,0,0,0,0,0,3.69,3.81,10.44,25.37,8.39,0,0,48.96,0.12,0,0,48.96,0.12
2025,A,FS,SANTA MARTA,"531,630","88,605",484.35,484.35,290.22,9.69,15.77,3.77,20.17,8.14,40.79,2.94,2.94,0,3.63,5.2,9.95,24.53,8.36,1.13,0,56.79,0.12,39,17.05,39.78,0.08
2025,A,GS,BARRANQUILLA,"4,715,130","785,855",461.61,410.03,291.24,28.72,24.37,3.77,18,0.14,5.24,0,0,0,3.07,0,4.27,19.69,8.43,2.71,0.01,17.23,0.04,46,13.8,2.87,0.01
2025,A,GS,BOGOTA,"1,850,700","308,450",400.55,389.17,288.8,28.95,24.21,3.61,26.3,0,5.95,0,0,0,2.98,0,4.53,21.31,8.38,0,0,-9.09,-0.02,50,21.23,-30.33,-0.08
2025,A,GS,BUCARAMANGA,"1,993,260","332,210",405.09,405.09,288.85,24.8,23.92,3.58,5.36,2.63,18.75,0,0,0,2.94,0,5.15,21.61,8.39,0.6,0,15.3,0.04,55,20.72,-3.98,-0.01
2025,A,GS,CALI,"1,211,970","201,995",464.5,443.84,290.47,20.52,24.41,3.79,6.36,10.66,25.41,0,0,0,3.06,0,5.38,20.12,8.53,2.39,0,39.81,0.09,54,14.12,15.28,0.03
2025,A,GS,CARTAGENA,"3,140,090","523,348",467.93,405.72,290.64,28.69,24.27,3.74,18.42,0.14,3.95,0,0,0,3,0,4.2,19.82,8.38,3.06,0.02,14.18,0.03,41,12.89,1.36,0
2025,A,GS,MEDELLIN,"1,063,830","177,305",410.63,410.63,289.89,29.11,24.54,3.76,24.31,0,5.48,0,0,0,3.14,0,4.49,20.89,8.39,0.24,0,13.15,0.03,56,21.9,-8.76,-0.02
2025,A,GS,SANTA MARTA,"24,000","12,000",462,384.33,289,28.83,23.19,3.32,19.29,8.41,32.6,0,0,0,2.7,0,5.39,20.79,8.02,0,0,-41.18,-0.11,42,11.88,-52.24,-0.14
2025,A,HD,APARTADO,"9,033,360","1,505,560",463.62,451.46,290.37,15.87,24.47,3.8,27.81,0,7.47,0,0,0,1.37,0,4.68,21.51,8.37,1.38,0,61.1,0.14,5,0.24,60.86,0.13
2025,A,HD,BARRANQUILLA,"8,859,600","1,476,600",453.08,432.59,291.68,16.45,24.49,3.88,10.37,0,21.23,0,0,0,1.36,0,4.59,20.85,8.33,1.03,0,44.99,0.1,19,2.85,42.13,0.1
2025,A,HD,BOGOTA,"56,667,420","9,444,570",453.86,440.91,290.22,17.42,24.43,3.78,21.76,0,10.82,0,0,0,1.37,0.08,4.73,21.64,8.39,0.03,0,53.02,0.12,9,0.4,52.62,0.12
2025,A,HD,BUCARAMANGA,"10,376,640","1,729,440",452.87,440.73,290.38,17.64,24.46,3.79,4.11,0,76.74,0,0,0,1.38,0,4.71,21.65,8.34,0.37,0,3.84,0.01,5,0.26,3.58,0.01
2025,A,HD,CALI,"19,735,920","3,289,320",443.67,429.41,289.86,17.33,24.46,3.76,7.16,0,18.03,0,0,0,1.39,0,4.81,21.99,8.42,0.25,0,48.79,0.11,16,0.94,47.86,0.11
2025,A,HD,CUCUTA,"3,858,720","643,120",450.99,438.79,289.94,25.5,24.39,3.74,17.66,0,0.46,0,0,0,1.39,0,4.8,21.93,8.39,6.15,0,51.23,0.12,6,0.29,50.94,0.12
2025,A,HD,MEDELLIN,"58,428,000","9,738,000",456.05,443.94,289.95,17.21,24.37,3.76,12.88,0,7.23,0,0,0,1.38,0,4.75,21.91,8.35,0.07,0,68.8,0.16,4,0.27,68.52,0.15
2025,A,HD,MONTERIA,"30,578,640","5,096,440",458.05,438.83,291.22,16.54,24.54,3.86,14.23,0,8.52,0,0,0,1.36,0,4.62,20.95,8.39,0.11,0,61.27,0.14,16,2.07,59.2,0.13
